Contact Type,Contact,Street Address,Phone Number,Notes,Mapped location
GED/Education,Christian Women's Job Corp,18 8th Ave. S,(615) 244-3669,women only,
Transportation Services,TennCare transportation,,(615) 333-5445,,"Nashville, TN
(36.166687, -86.779932)"
Food,Preston Taylor Ministries,4014 Indiana Ave,(615) 596-4386,community food bank-pantry,"4014 Indiana Ave
Nashville, TN
(36.157154, -86.835331)"
Senior/Disabled Housing,Hadley Park Towers,2901 John Merritt Blvd.,(615) 252-3724,housing,"2901 John Merritt Blvd.
Nashville, TN
(36.167895, -86.822038)"
Food,Second Harvest BackPack Program,,(615) 329-3491,weekend food for kids,"Nashville, TN
(36.166687, -86.779932)"
Senior/Disabled Housing,Metropolitan Development and Housing Agency (MDHA),701 S. 6th St.,(615) 252-8400,housing,"701 S. 6th St.
Nashville, TN
(36.165754, -86.758813)"
Rehab - Drug/Alcohol,Al-Anon Family Service,"176 Thompson Ln., Suite G3",(615) 333-6066,for relatives/friends of alcoholics,"176 Thompson Ln., Suite G3
Nashville, TN
(36.110276, -86.737936)"
Legal Assistance,Fifty Forward,108 Donelson Pike,(615) 883-8375,age 50+; this number is for the Donelson Station Senior center for the arts- to call the admin office: 743-3400,"108 Donelson Pike
Nashville, TN
(36.166615, -86.66345)"
Food,Una Church of Christ,1917 Old Murfreesboro Pike,(615) 361-8920,emergency food assistance,"1917 Old Murfreesboro Pike
Nashville, TN
(36.09852, -86.656615)"
Counseling,Al-Anon Family Service,"176 Thompson Ln., Suite G3",(615) 333-6066,for relatives/friends of alcoholics,"176 Thompson Ln., Suite G3
Nashville, TN
(36.110276, -86.737936)"
Clothing,Samaritan Ministries,1041 28th Ave N,(615) 329-1523,Mon - Sat 11:00 am - 12 Noon,"1041 28th Ave N
Nashville, TN
(36.167155, -86.820595)"
Legal Assistance,Morning Star Clarksville Court Advocate,,,"JCAC Adv. will E-mail Heather Goodmancave at heather.goodmancave@msdvp.org for any clients in Clarksville, needing assitance w/ OP and Resources.  Include in e-mail contact info of client.","Nashville, TN
(36.166687, -86.779932)"
Crisis Info Resources,FBI - Memphis Division,"225 N. Humphreys Blvd., Suite 3000",(901)747-4300,,
Counseling,Agape Counseling Services,4555 Trousdale,(615) 781-3000,,"4555 Trousdale
Nashville, TN
(36.08604, -86.754459)"
Rent/Mortgage/Utility Help,Jewish Family Services,"801 Percy Warner Blvd., Suite 103",(615) 354-1644,Jewish families only,"801 Percy Warner Blvd., Suite 103
Nashville, TN
(36.08364, -86.89032)"
Job Training,Against the Grain,"1441 New Highway 96 W, Suite 9",(615) 791-7885,,"1441 New Highway 96 W, Suite 9
Franklin, TN
(35.929831, -86.897018)"
Job Training,Salvation Army,631 Dickerson Rd.,(615) 242-0411,,
GED/Education,Citizens for Affordable Housing,295 Plus Park Blvd.,(615) 361-9101,home-buying education,"295 Plus Park Blvd.
Nashville, TN
(36.127161, -86.725002)"
Students,Title IX @ Vanderbilt - Anita Jenious,Baker Building Suite 975,(615) 322-4705,Vanderbilt students,
Rent/Mortgage/Utility Help,Nashville International Center for Empowerment,"3221 Nolensville Pike, #103",(615) 315-9681,immigrants/refugees,"3221 Nolensville Pike, #103
Nashville, TN
(36.101786, -86.740566)"
Food,Welcome Home ministries,P.O. Box 100183,(615) 309-7087,community food bank-pantry,
Childcare,Department of Human Services (DHS) - Childcare vouchers,1000 2nd Ave. N.,(615) 532-4000,,"1000 2nd Ave. N.
Nashville, TN
(36.174455, -86.783049)"
Counseling,Metro Nashville DV Division,811 2nd Ave. S.,(615) 880-3000,has weekly Support Group Friday 9-10:30am,"811 2nd Ave. S.
Nashville, TN
(36.153134, -86.769505)"
Rent/Mortgage/Utility Help,Goodlettsville Help Center,108 Depot St.,(615) 859-4706,"37072 zip code only; Mon - Fri 10:30 am - 2:30 pm. Walk-In ONLY. Need proof of address, social security cards for each household member and a picture ID for the individual registering.","108 Depot St.
Goodlettsville,, TN
(36.326689, -86.713165)"
Job Training,How's Nashville,,(615) 880-2360,,"Nashville, TN
(36.166687, -86.779932)"
Medical/Dental,First Response Clinic,"121 21st Ave. N., Suite 302",(615) 277-0615,for patients with HIV/AIDS,"121 21st Ave. N., Suite 302
Nashville, TN
(36.151727, -86.802148)"
Food,Bordeaux  Advocates,1414 County Hospital  Rd,(615) 862-6953,Kids Food Bank and Meals,"1414 County Hospital Rd
Nashville, TN
(36.182754, -86.848828)"
Teen Services,World Relief,"1655 Murfreesboro Pike, Suite G",(615) 833-7735,,"1655 Murfreesboro Pike, Suite G
Nashville, TN
(36.104348, -86.66883)"
Counseling,The HELP Center,"3918 Dickerson Rd., Suite 110",(615) 349-8349,for the previously incarcerated and low income,
Food,Salvation Army,631 Dickerson Rd.,(615) 242-0411,,
Housing,Woodbine Community Organization,643 Spence Lane,(615) 833-9580,income housing (615)242-7006/635 Spence Lane-Community Housing,"643 Spence Lane
Nashville, TN
(36.139306, -86.723023)"
Immigrant/Refugee,The Lost Boys Foundation of Nashville,,(615) 256-8302,,"Nashville, TN
(36.166687, -86.779932)"
